GammelID;NyID;Type
484588;9D8D0F0E-71DE-4F90-9462-00831D52C809;Tidsskrift
496461;48F6896B-B377-492C-A82B-00836B26DE56;Tidsskrift
449526;E1621B7E-5443-442A-A879-008CE527FECD;Tidsskrift
488262;CCF095D4-A1D0-4CD0-91C8-008D6EBC351D;Tidsskrift
439718;9AA385E0-919C-4E55-A5C3-009221916D0A;Tidsskrift
497873;B5FDCE9D-910B-466A-B731-00936F5043C0;Tidsskrift
339766;D29A639B-3CB4-4BCD-B326-0093F7BBCB1E;Tidsskrift
474692;713CB990-6374-4E7D-B339-0094F3A62329;Tidsskrift
474754;7F1AFD79-BF26-4A8A-82DD-009555528783;Tidsskrift
494765;526B5663-52CC-4301-9703-0096A622EB4E;Tidsskrift
450013;FF7C7F5F-9CBB-485D-93E5-009AE85A1D9F;Tidsskrift
489174;884CDE9D-3364-4C18-9756-00A2297DB358;Tidsskrift
446040;6CDB5852-FF06-4375-A8A0-00A392C8A19E;Tidsskrift
476931;1AFEC4AC-14A4-469B-AB56-00A4EF0731E2;Tidsskrift
477687;6D2BBB48-6EC7-4C52-9B23-00AAEC94AA1E;Tidsskrift
428607;554BAB57-15CB-489B-A482-00B0366EC3A6;Tidsskrift
471739;DDFBD10C-EA7A-454C-BC92-00B27AE720D6;Tidsskrift
477087;AB37A19F-826D-4F5C-83E2-00B44A62643E;Tidsskrift
470011;27924639-83BD-490F-B437-00B6AE159525;Tidsskrift
470748;17CCFCB0-AD24-426A-9EB5-00B86C922198;Tidsskrift
439494;7711C683-031D-452A-8754-00B94A5D5E4C;Tidsskrift
484650;46A06BAB-F5DE-4C89-98D2-00BA3B1AD661;Serie
450117;3ED78CB9-DCED-49C4-AAD9-00BBF1D112AA;Tidsskrift
507782;DFC5BD8E-F7A7-4C45-886C-00BF07158229;Tidsskrift
477145;EF567820-F35E-41E0-A01F-00C070EC49B6;Tidsskrift
507777;80776B95-D27E-45F5-BFCC-00C11DF5CF4C;Tidsskrift
442011;21417CFE-6F35-4B93-9A4F-00C19A641890;Tidsskrift
505609;7EF51F31-9524-48DB-A15A-00C270546608;Tidsskrift
471507;F0F698D6-FAD6-4C29-84A5-00C31A636AE9;Serie
504708;2E3CBF5C-F581-4875-A211-00C333C74E9A;Tidsskrift
477377;A79A437E-DC2C-473F-8738-00C4D96CB038;Tidsskrift
474670;7F83591C-8C0C-4E17-934B-00C7A114ED7A;Tidsskrift
478930;799BC438-34C0-4FD1-ABFE-00C9D5E05D0C;Tidsskrift
442467;3DBECDE6-DE2D-42B7-9170-00CBA1062F08;Tidsskrift
484058;031BE806-90B2-4FC4-8110-00CE4A5A7548;Tidsskrift
489141;F1A528BE-8AC0-4C5B-A37C-00D094A6F2BC;Tidsskrift
476428;1C07F9F2-5CB7-4A12-8B6D-00D268314CFC;Tidsskrift
